"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M3B","3",1.949,7.458,0.5,5.091,0.463,1880.293,"48","14","0","2625.03783761758",3766.586,3766.606,3781.851,0,0,0,1,0.46606,NA
"M4B","4",5.09,0.378,0.529,8.231,8.144,1879.729,"59","16","0","2688.77030731574",3767.458,3767.491,3787.811,0.872,0.885,5.96,0.647,0.30141,1.546
"M5B","5",4.9,0.385,0.529,1.946,8.163,1878.99,"67","18","0","42.3065027916891",3767.981,3768.031,3793.423,1.395,1.425,11.571,0.498,0.23205,2.008
"M2C","3",1.946,10.746,0.398,NA,0,1887.161,"45","13","0","2761.12138715234",3780.321,3780.341,3795.586,13.735,13.735,13.735,0.001,0.00049,960.622
"M2B","2",1.95,8.709,0.5,NA,0,1900.249,"39","14","0","2694.60968650037",3804.499,3804.509,3814.675,37.913,37.903,32.824,0,0,170862421.018
"M5A","4",1.938,2.327,0.714,4.973,2.327,1929.511,"71","15","0","1315.85648063037",3867.021,3867.055,3887.375,100.436,100.449,105.524,0,0,6.44622065481545e+21
"M4A","3",1.925,2.314,0.715,5.066,2.314,1931.436,"47","12","0","1266.96197003184",3868.873,3868.893,3884.138,102.287,102.287,102.287,0,0,1.62654424685015e+22
"M3A","2",5.062,2.374,0.5,8.204,2.374,2023.872,"33","9","0","1300.70185804243",4051.744,4051.754,4061.921,285.158,285.148,280.069,0,0,8.34166771804955e+61
"M2A","2",2,0.732,1,NA,0,2056.061,"35","9","0","301.006982226681",4116.122,4116.132,4126.299,349.536,349.526,344.448,0,0,7.95879031672083e+75
"M1","0",NA,0,1,NA,0,2201.777,NA,NA,"0",NA,4403.553,4403.553,4403.553,636.968,636.947,621.702,0,0,2.06894532344177e+138
