"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M4B","4",1.905,7.507,0.568,5.047,0.535,580.31,"45","15","0","1090.18964445795",1168.621,1168.723,1184.536,0,0,4.562,1,0.32848,NA
"M3B","3",1.903,9.011,0.5,5.045,0.305,581.357,"52","15","0","1129.08220924623",1168.715,1168.776,1180.652,0.094,0.053,0.677,0.954,0.31333,1.048
"M5B","5",1.903,7.442,0.57,4.78,0.567,579.503,"62","21","0","1124.38369853862",1169.007,1169.161,1188.901,0.386,0.438,8.927,0.824,0.27076,1.213
"M2B","2",1.903,9.874,0.5,NA,0,584.008,"31","10","0","1134.87539252333",1172.017,1172.047,1179.974,3.396,3.324,0,0.183,0.06013,5.463
"M2C","3",1.901,10.285,0.477,NA,0,583.798,"42","14","0","1138.30406917259",1173.595,1173.657,1185.532,4.975,4.934,5.558,0.083,0.0273,12.031
"M5A","4",1.888,2.879,0.743,4.84,2.879,593.655,"70","17","0","632.233909385604",1195.31,1195.412,1211.225,26.689,26.689,31.251,0,0,624485.346
"M4A","3",5.001,2.829,0.255,8.143,2.829,596.262,"45","13","0","657.635548321878",1198.524,1198.586,1210.461,29.904,29.862,30.486,0,0,3115194.57
"M3A","2",4.993,2.883,0.5,8.135,2.883,640.092,"20","5","0","666.587793375584",1284.184,1284.215,1292.142,115.564,115.492,112.168,0,0,1.24264279493828e+25
"M2A","2",1.976,0.921,1,NA,0,653.666,"16","6","0","152.042619959047",1311.333,1311.364,1319.291,142.712,142.64,139.316,0,0,9.76355468091048e+30
"M1","0",NA,0,1,NA,0,725.961,NA,NA,"0",NA,1451.923,1451.923,1451.923,283.302,283.2,271.949,0,0,3.29856880183802e+61
