"","source","country","scientific_name","status"
"12","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Abutilon theophrasti Medik.)","Bulgaria","Abutilon theophrasti","native"
"33","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acacia dealbata Link)","Australia","Acacia dealbata","native"
"42","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acacia mearnsii De Wild.)","Australia","Acacia mearnsii","native"
"43","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acacia melanoxylon R. Br.)","Australia","Acacia melanoxylon","native"
"60","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer tataricum L. subsp. ginnala (Maxim.) Wesm.)","China","Acer ginnala","native"
"61","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer tataricum L. subsp. ginnala (Maxim.) Wesm.)","Mongolia","Acer ginnala","native"
"62","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer tataricum L. subsp. ginnala (Maxim.) Wesm.)","Russian Federation","Acer ginnala","native"
"63","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer negundo L.)","Canada","Acer negundo","native"
"67","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Albania","Acer platanoides","native"
"68","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Armenia","Acer platanoides","native"
"69","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Austria","Acer platanoides","native"
"70","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Azerbaijan","Acer platanoides","native"
"71","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Belarus","Acer platanoides","native"
"72","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Belgium","Acer platanoides","native"
"73","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Bulgaria","Acer platanoides","native"
"74","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Estonia","Acer platanoides","native"
"75","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Finland","Acer platanoides","native"
"76","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","France","Acer platanoides","native"
"77","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Georgia","Acer platanoides","native"
"78","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Germany","Acer platanoides","native"
"79","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Greece","Acer platanoides","native"
"80","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Hungary","Acer platanoides","native"
"82","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Italy","Acer platanoides","native"
"83","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Kyrgyzstan","Acer platanoides","native"
"84","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Latvia","Acer platanoides","native"
"85","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Lithuania","Acer platanoides","native"
"86","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Norway","Acer platanoides","native"
"87","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Poland","Acer platanoides","native"
"88","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Romania","Acer platanoides","native"
"89","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Russian Federation","Acer platanoides","native"
"90","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Spain","Acer platanoides","native"
"91","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Sweden","Acer platanoides","native"
