"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Abies concolor","Palearctic_West","141","0","233","2"
"Abies lasiocarpa","Palearctic_West","22","0","241","3"
"Abutilon theophrasti","Nearctic","239","0","41","0"
"Abutilon theophrasti","Palearctic_West","554","0","41","0"
"Abutilon theophrasti","Australian","70","0","36","5"
"Abutilon theophrasti","Sino-Japanese","47","0","40","1"
"Abutilon theophrasti","Saharo-Arabian","9","0","41","0"
"Abutilon theophrasti","Oriental","6","0","35","6"
"Acacia dealbata","Palearctic_West","200","0","341","5"
"Acacia dealbata","Australian","10","0","346","0"
"Acacia dealbata","Nearctic","35","0","346","0"
"Acacia dealbata","Afrotropical","35","0","339","7"
"Acacia dealbata","Neotropical","12","2","346","0"
"Acacia dealbata","Sino-Japanese","10","0","346","0"
"Acacia dealbata","Madagascan","6","0","31","315"
"Acacia mearnsii","Palearctic_West","30","0","215","0"
"Acacia mearnsii","Australian","7","0","215","0"
"Acacia mearnsii","Afrotropical","83","0","215","0"
"Acacia mearnsii","Neotropical","23","0","215","0"
"Acacia mearnsii","Nearctic","8","2","215","0"
"Acacia mearnsii","Sino-Japanese","5","0","215","0"
"Acacia mearnsii","Oriental","5","1","215","0"
"Acacia melanoxylon","Palearctic_West","93","1","449","19"
"Acacia melanoxylon","Australian","12","0","468","0"
"Acacia melanoxylon","Nearctic","23","1","467","1"
"Acacia melanoxylon","Panamanian","4","1","384","84"
"Acacia melanoxylon","Neotropical","13","6","468","0"
"Acacia melanoxylon","Afrotropical","33","0","462","6"
"Acer ginnala","Palearctic_West","43","1","36","0"
"Acer ginnala","Nearctic","42","0","36","0"
"Acer negundo","Palearctic_West","981","0","906","7"
"Acer negundo","Australian","48","0","767","146"
"Acer platanoides","Nearctic","137","2","2177","0"
"Acer platanoides","Palearctic_West","534","0","2177","0"
"Acer platanoides","Australian","5","0","1744","433"
"Acer pseudoplatanus","Palearctic_West","1047","0","1586","0"
"Acer pseudoplatanus","Australian","59","4","1561","25"
"Acer pseudoplatanus","Nearctic","45","1","1586","0"
"Acer saccharinum","Palearctic_West","222","0","319","0"
"Achillea millefolium","Australian","89","1","2980","1667"
"Achillea millefolium","Sino-Japanese","25","0","4554","93"
"Achillea millefolium","Neotropical","6","0","4633","14"
"Acroptilon repens","Nearctic","144","0","57","0"
"Acroptilon repens","Palearctic_West","16","0","52","5"
"Acroptilon repens","Australian","26","0","23","34"
"Adenanthera pavonina","Oriental","12","0","79","0"
"Adenanthera pavonina","Neotropical","31","0","79","0"
"Adenanthera pavonina","Madagascan","5","0","73","6"
"Adenanthera pavonina","Oceanian","5","0","60","19"
"Adenanthera pavonina","Nearctic","5","0","75","4"
"Adenanthera pavonina","Afrotropical","16","0","75","4"
"Adenanthera pavonina","Panamanian","11","0","78","1"
"Aegilops cylindrica","Nearctic","241","0","321","0"
"Aegilops cylindrica","Palearctic_West","84","0","321","0"
"Aegopodium podagraria","Nearctic","65","1","2377","1"
"Aegopodium podagraria","Palearctic_West","632","0","2378","0"
"Aegopodium podagraria","Australian","6","0","1701","677"
"Agropyron cristatum","Nearctic","355","0","305","2"
"Agrostis capillaris","Australian","195","3","1648","1617"
"Agrostis capillaris","Neotropical","9","0","3263","2"
"Agrostis capillaris","Nearctic","90","0","3265","0"
"Agrostis gigantea","Nearctic","626","0","2878","0"
"Agrostis gigantea","Australian","61","0","2028","850"
"Agrostis gigantea","Sino-Japanese","61","0","2858","20"
"Agrostis gigantea","Neotropical","36","0","2872","6"
"Agrostis scabra","Palearctic_West","57","0","1136","26"
"Ailanthus altissima","Palearctic_West","892","0","67","16"
"Ailanthus altissima","Nearctic","273","0","82","1"
"Ailanthus altissima","Australian","105","0","73","10"
"Ailanthus altissima","Saharo-Arabian","22","0","43","40"
"Akebia quinata","Nearctic","27","0","77","1"
"Akebia quinata","Australian","12","1","69","9"
"Akebia quinata","Palearctic_West","15","0","62","16"
"Albizia julibrissin","Nearctic","155","0","118","2"
"Albizia julibrissin","Palearctic_West","50","0","94","26"
"Albizia julibrissin","Neotropical","5","0","120","0"
"Albizia lebbeck","Oriental","17","0","130","0"
"Albizia lebbeck","Panamanian","40","0","104","26"
"Albizia lebbeck","Nearctic","26","0","130","0"
"Albizia lebbeck","Afrotropical","54","0","129","1"
"Albizia lebbeck","Madagascan","41","0","102","28"
"Albizia lebbeck","Oceanian","10","0","29","101"
"Albizia lebbeck","Neotropical","44","0","125","5"
"Alhagi maurorum","Australian","19","0","61","17"
"Alhagi maurorum","Nearctic","46","0","78","0"
"Alliaria petiolata","Nearctic","292","0","2638","0"
"Allium vineale","Australian","24","0","2104","10"
"Allium vineale","Nearctic","121","0","2114","0"
"Alnus glutinosa","Australian","15","3","2768","569"
"Alnus glutinosa","Nearctic","33","0","3336","1"
"Aloe arborescens","Palearctic_West","27","0","72","3"
"Aloe arborescens","Australian","24","0","75","0"
