"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Abies concolor"	"Palearctic_West"	233	141	NA	0.05858	0.94142	0.637	18.13275	54	2279	1.062	0.011	54	0.146	59.228	3.266	256	1.524	-0.266534057539626	-0.0462357822065038	0.200833673198919	-0.552140803499049	0.132435589145574	-0.253456805137362	281	847	"M2A"	0.992145970233827	0	1.59431413243361	1.50709010718677	1.14474895847436	2.11943887348816	2.28682034662569	NA	NA	NA	NA	NA	0	0.878486220782758	0.0131466269373681	4.478	NA	63.915	0	NA
"Abies lasiocarpa"	"Palearctic_West"	241	22	NA	0.02086	0.97914	0.42741	57.53374	5	2246	1.2	0.014	5	0.012	36.701	0.638	280	2.188	0.143426319906693	-0.591457494576276	0.244226122464439	-0.883109790419551	0.25063345020376	-0.36320814077174	217	911	"M2A"	0.998730212802085	0	1.57866679821034	1.57661392475637	1.50607909644442	1.65289679873942	1.66105946466747	NA	NA	NA	NA	NA	0	1	0.00132700637142635	4.524	NA	227	0	NA
"Abutilon theophrasti"	"Australian"	36	70	NA	0.11672	0.88328	0.23822	39.74063	40	2442	4.639	0.081	40	0.193	13.684	0.344	93	0.604	-0.473037547241668	0.0198750811119885	-0.414145686381514	0.497560928789161	-0.538465581472306	0.723603352970544	299	915	"M5B"	0.422055360927888	0	0.617936494765098	0.630929240369495	0.479174040889003	0.774087836523736	0.837956469776183	1.35061631274699	1.39429046573318	1.16988591195154	1.51479814256015	1.56840769038518	0.0591652105366044	0.224202233304332	0.74418698127819	0.207	3.652	5.652	4.027	NA
"Abutilon theophrasti"	"Nearctic"	41	239	NA	0.0393	0.9607	0.04385	37.63235	56	2376	1.479	0.021	56	0.205	3.049	0.081	45	0.158	-0.393978802446697	0.00774677257461513	-0.677281888896677	0.0119067848045664	-0.0686582841356754	-0.0486595165806177	293	883	"M5B"	0.577874206634985	0	1.63404539434234	1.60977871515134	1.44872568736047	1.84346824269332	1.86622606857961	1.3515159028	1.34703899222934	1.23429705788018	1.50887331179719	1.58417283984745	0.552563897659087	0.495032056774023	0.330517613754561	1.874	3.714	40.14	6.665	NA
"Abutilon theophrasti"	"Oriental"	35	6	NA	0.84426	0.15574	0.89071	104.43633	126	2415	88.171	1.454	126	0.538	54.004	0.517	208	1.368	-0.477938663587952	-0.0163175347965637	-1.59193242919544	-0.874676641907348	-0.851580243420736	0.481371248322745	297	936	"M2A"	0.981062638729628	0	1.72859710007886	1.73691391855146	1.10576389220131	2.36245974366171	2.66452807873939	NA	NA	NA	NA	NA	0	0.987990252162705	0.0169638511132048	4.227	NA	26.66	0	NA
"Abutilon theophrasti"	"Palearctic_West"	41	554	NA	0.11247	0.88753	0.17224	21.4685	90	2376	2.415	0.035	90	0.33	11.975	0.558	97	0.365	-0.393978802446697	0.00774677257461513	0.0838899944488865	-0.405169953160938	0.0633186609499972	-0.18929754556164	293	883	"M2B"	0.967245883435233	0	1.76450770779319	2.143568752543	0.851262029437033	2.52626976039118	2.72111483385265	NA	NA	NA	NA	NA	0	0.883593285265649	0.0939442525558445	4.246	NA	227	0	NA
"Abutilon theophrasti"	"Saharo-Arabian"	41	9	NA	0	1	0.75295	4.62862	0	2376	0	0	0	0	52.349	11.31	234	6	-0.393978802446697	0.00774677257461513	-0.38114553756484	0.441727560700181	-0.438052301158111	1.15268056480603	293	883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Abutilon theophrasti"	"Sino-Japanese"	40	47	NA	0.64384	0.35616	0.42524	64.04715	99	2418	41.236	0.643	99	0.429	27.252	0.425	155	0.886	-0.391715055371763	-0.017666966665073	-1.17547676596659	-0.55513987889426	-0.50750212053033	-0.142335343359335	291	895	"M2A"	0.930784511866615	0	1.22079275603339	1.21551030826182	0.861211027740226	1.55551624740067	1.73004225221898	NA	NA	NA	NA	NA	0.0544655864691706	0.990384998463983	0.0622149675492698	3.826	NA	7.506	0	NA
"Acacia dealbata"	"Afrotropical"	339	35	NA	0.02563	0.97437	0.23651	22.4714	13	2385	0.576	0.012	13	0.049	11.268	0.501	167	1.518	-0.324535447796055	-0.348184315536121	-0.224919120395059	-0.276522924355324	-0.578035911646242	0.056541912187023	265	1021	"M2A"	0.996084926379467	0	1.15874025700564	1.17661409600992	1.04980490966532	1.31473199227195	1.33608708300084	NA	NA	NA	NA	NA	0	0	0.00480589635066697	0.166	NA	127.963	0	NA
"Acacia dealbata"	"Australian"	346	10	NA	0	1	0.6931	52.04824	0	2342	0	0	0	0	37.07	0.712	231	3.039	-0.339342585224075	-0.381033048714811	-0.138647405766601	-0.87439908289403	-0.413605477354947	0.186806323338746	263	1044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
