"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_cold"	"proportion_dry"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Abies concolor"	"Palearctic_West"	233	141	0.209	0.03418	0.96582	0.65281	16.86763	19	2712	0.577	0.005	19	0.051	77.986	4.623	289	2.726	-0.207638132204853	-0.146635304377338	0.182637965593778	0.232399488902281	0.210944610731267	-0.0185897261498851	282	-37	655	"M2C"	0.680343357809776	0	0.625394488509768	0.638740058185536	0.292572126582571	0.939330749324475	1.2660552349775	NA	NA	NA	NA	NA	0.106685891911128	0.206111541410954	0.606476776068984	0.205702581385215	0.0260973478260081	0.557368074769683	1.815	NA	3.35	0	NA
"Abies lasiocarpa"	"Palearctic_West"	241	22	0.305	0	1	0.45589	68.98997	0	2559	0	0	0	0	48.997	0.71	365	2.226	0.455174089745246	0.349569382614313	0.312758187587747	0.622533561164632	0.436363294760891	0.112346358615	211	-101	702	"M4B"	0.92270410117638	0	1.03095235389042	0.978418163374638	0.419298963933485	1.70891817651624	2.0603130514696	0.329102753504113	0.326731774568006	0.172098921387844	0.440273450663134	0.474037111380628	0.0152734262431858	0.0252636557206571	0.854629360389217	0.0933699511063229	0.00731154476979079	0.421090279762902	1.735	4.877	14.493	0.81	NA
"Abutilon theophrasti"	"Australian"	36	70	0.441	0.18894	0.81106	0.31831	34.52431	49	2936	6.523	0.125	49	0.322	16.668	0.483	76	0.608	-0.575445076317835	-0.162908223423605	-0.720454316627615	-0.697325416087952	-0.688990151286497	-0.625637611985328	287	55	689	"M4B"	0.461472002512528	0	0.354898888161411	0.355156061697434	0.151599063675822	0.537625523425821	0.608799296333097	0.530143454812417	0.561074086773147	0.25392693706839	0.752417266867248	0.867237984523079	0.116613421765737	0.12976104229729	0.410816405232582	0.347583846833062	0.13312051599908	0.757943218540832	4.485	7.626	0.828	2.427	NA
"Abutilon theophrasti"	"Nearctic"	41	239	0.747	0.04545	0.95455	0.09067	38.70208	51	2809	1.759	0.023	51	0.183	6.869	0.177	74	0.289	-0.477801386182957	-0.168021605164066	-0.495004775844758	-0.118863095536607	0.0765148216132932	-0.204971949186733	330	-84	856	"M5B"	0.791463588304345	0	0.863254721493484	0.896995271192055	0.400329063485274	1.28473767175107	1.39907839098077	0.915721236142515	0.964883018245038	0.435259811333857	1.30203810494676	1.46447191947059	0.524111839218082	0.664307638411549	0.515744233536869	0.00688087983855846	0.00409278178469757	0.418041296024871	2.081	3.149	14.523	3.911	NA
"Abutilon theophrasti"	"Oriental"	35	6	0.006	0.97978	0.02022	0.9917	107.0637	151	2921	104.899	1.921	151	0.904	54.167	0.506	163	1.052	-0.60075709527765	-0.142268324584275	-1.83765285598764	0.914119833542364	-0.862611989375823	-0.198757066077916	289	52	716	"M2A"	0.974420861127479	0	0.426115255908883	0.417002225019906	0.378415017038513	0.481105919490435	0.493053438203119	NA	NA	NA	NA	NA	0	0.269454821244652	1	0	0	0.0260347394387938	2.348	NA	19.807	0	NA
"Abutilon theophrasti"	"Palearctic_West"	41	554	0.389	0.04991	0.95009	0.26363	27.67296	43	2809	1.381	0.018	43	0.154	19.972	0.722	125	0.635	-0.477801386182957	-0.168021605164066	-0.0241623099771471	0.120224424652505	0.144441168574814	-0.0818447794363872	330	-84	856	"M5A"	0.661074033076379	0	0.725136942609941	0.742156433241851	0.324569061791412	1.09866116978712	1.27259428517195	0.792124689057579	0.812038737738189	0.378657383230925	1.19409622543731	1.42786316843669	0.364553166221175	0.498443812852587	0.572768669659682	0.0506236413450958	0.00889977791486277	0.55004633249443	2.116	3.57	4.07	4.07	NA
"Abutilon theophrasti"	"Saharo-Arabian"	41	9	0.049	0	1	0.93318	3.81282	0	2809	0	0	0	0	70.693	18.541	269	26.9	-0.477801386182957	-0.168021605164066	-0.829980228010226	-0.627503396525707	-0.536747061233145	-0.983133638636452	330	-84	856	"M2A"	0.986239561757398	0	0.456885067146133	0.468136354057929	0.308386346171731	0.621910843313885	0.654420898401021	NA	NA	NA	NA	NA	0	0.224511561450822	1	0	0	0.0221973279174674	2.274	NA	36.591	0	NA
"Abutilon theophrasti"	"Sino-Japanese"	40	47	0.212	0.5389	0.4611	0.40765	70.98517	97	2833	38.254	0.539	97	0.38	28.931	0.408	163	0.862	-0.479567836395981	-0.166543317883417	-0.960501352000107	0.528344222656802	-0.368291170223158	-0.00653236661756433	292	16	700	"M5B"	0.569182234752202	0	0.451750748147466	0.44893218491531	0.248259781516939	0.67047415536708	0.723627743181851	0.621967134689602	0.648363588155841	0.31455138812745	0.867929704319698	0.937628284806397	0.294736603166209	0.442391058945863	0.595963740237346	0.0122682685723784	0.12675647607846	0.599033670456023	4.293	2.439	1.134	3.706	NA
"Acacia dealbata"	"Afrotropical"	339	35	0.451	0.01405	0.98595	0.30746	23.55445	3	2893	0.331	0.008	3	0.015	12.68	0.538	131	1.955	-0.468539330246239	0.138970578536483	-0.417025197255973	0.0504094125806043	-0.725275857879268	-0.321273298492574	261	50	812	"M2A"	0.935723101737861	0	0.635207923343944	0.663203436079959	0.290259479023352	0.95788064568058	1.07368836185755	NA	NA	NA	NA	NA	0	0	0.0592497213817633	0.892202710733199	0.0171700876812833	0.20496916418082	0.85	NA	8.058	0	NA
"Acacia dealbata"	"Australian"	346	10	0.393	0.0122	0.9878	0.54081	62.23005	2	2843	0.759	0.016	2	0.008	25.006	0.402	147	1.47	-0.47429360766762	0.172581405031149	-0.30655314584025	0.65877212074741	-0.630527461926707	-0.332769922723153	309	-77	1033	"M2A"	0.889624378933912	0	1.14015064412363	1.11230809792124	0.716081112846201	1.6316520721728	1.78626709041181	NA	NA	NA	NA	NA	0	0	0.301156644738638	0.593849291154783	0	0.0793032765697157	1.087	NA	4.844	0	NA
"Acacia dealbata"	"Madagascan"	31	6	0.269	0	1	0.81985	12.52613	0	3005	0	0	0	0	27.595	2.203	64	3.368	-0.664897818473941	0.531880691103104	-0.956007510175803	0.91247659872194	-0.961861918416495	0.648200019378813	284	-10	1223	"M2A"	0.837583134210424	0	0.369157855937525	0.389462851696722	0.178019423568836	0.563536517763494	0.596409280095883	NA	NA	NA	NA	NA	0.0220023985969611	0.0220023985969611	0.34238974238444	0.583523754639427	0.0294348605879345	0.256577764813164	1.352	NA	3.434	0	NA
