"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Abies concolor"	"Palearctic_West"	233	141	0.209	0.03418	0.96582	0.65281	16.86763	19	2712	0.577	0.005	19	0.051	77.986	4.623	289	2.726	-0.207638132204853	-0.146635304377338	0.182637965593778	0.232399488902281	0.210944610731267	-0.0185897261498851	282	-37	655	"M2A"	0.997140019524643	0	1.57914415546582	1.46792624033211	1.2221736800865	2.06746445697049	2.13912999767474	NA	NA	NA	NA	NA	0	0	1	0.00336376985745734	1.76	NA	175.077	0	NA
"Abies lasiocarpa"	"Palearctic_West"	241	22	0.305	0	1	0.45589	68.98997	0	2559	0	0	0	0	48.997	0.71	365	2.226	0.455174089745246	0.349569382614313	0.312758187587747	0.622533561164632	0.436363294760891	0.112346358615	211	-101	702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Abutilon theophrasti"	"Australian"	36	70	0.441	0.18894	0.81106	0.31831	34.52431	49	2936	6.523	0.125	49	0.322	16.668	0.483	76	0.608	-0.575445076317835	-0.162908223423605	-0.720454316627615	-0.697325416087952	-0.688990151286497	-0.625637611985328	287	55	689	"M5B"	0.616466451308161	0	0.747924418479314	0.73827375559365	0.60767674423686	0.889819076537552	0.958376971454553	0.661397266585203	0.640336764243673	0.434517610333178	0.873559390595063	1.01005266031201	0.33550784171264	0.256400079510853	0.0387267880643204	0.274461355749207	3.41	5.278	6.702	5.16	"M5A"
"Abutilon theophrasti"	"Nearctic"	41	239	0.747	0.04545	0.95455	0.09067	38.70208	51	2809	1.759	0.023	51	0.183	6.869	0.177	74	0.289	-0.477801386182957	-0.168021605164066	-0.495004775844758	-0.118863095536607	0.0765148216132932	-0.204971949186733	330	-84	856	"M5B"	0.572003056477277	0	1.11590480559848	0.997316726852363	0.82809492016742	1.47231427745002	1.55283722432432	1.68840714899309	1.70525915515138	1.4710835461425	1.97594790586447	2.04469055462006	0.673731360213158	0.253228829494628	0.271320799662273	0.62829141159869	1.91	4.046	4.284	160.165	NA
"Abutilon theophrasti"	"Oriental"	35	6	0.006	0.97978	0.02022	0.9917	107.0637	151	2921	104.899	1.921	151	0.904	54.167	0.506	163	1.052	-0.60075709527765	-0.142268324584275	-1.83765285598764	0.914119833542364	-0.862611989375823	-0.198757066077916	289	52	716	"M2A"	0.972946333366857	0	1.54546319936529	1.55346420399875	0.779285573886835	2.29774187888405	2.68790633765657	NA	NA	NA	NA	NA	0.0151309168095356	0.280234197367331	0.988119341349675	0.0283145542370543	2.285	NA	18.743	0	NA
"Abutilon theophrasti"	"Palearctic_West"	41	554	0.389	0.04991	0.95009	0.26363	27.67296	43	2809	1.381	0.018	43	0.154	19.972	0.722	125	0.635	-0.477801386182957	-0.168021605164066	-0.0241623099771471	0.120224424652505	0.144441168574814	-0.0818447794363872	330	-84	856	"M2B"	0.976707819242747	0	1.26499399506938	1.13773344559656	0.719363873032291	2.42197184860642	2.57067789291653	NA	NA	NA	NA	NA	0	0	0.911095339345534	0.118439119093034	1.871	NA	227	0	NA
"Abutilon theophrasti"	"Saharo-Arabian"	41	9	0.049	0	1	0.93318	3.81282	0	2809	0	0	0	0	70.693	18.541	269	26.9	-0.477801386182957	-0.168021605164066	-0.829980228010226	-0.627503396525707	-0.536747061233145	-0.983133638636452	330	-84	856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Abutilon theophrasti"	"Sino-Japanese"	40	47	0.212	0.5389	0.4611	0.40765	70.98517	97	2833	38.254	0.539	97	0.38	28.931	0.408	163	0.862	-0.479567836395981	-0.166543317883417	-0.960501352000107	0.528344222656802	-0.368291170223158	-0.00653236661756433	292	16	700	"M2A"	0.931644055986792	0	1.2936778564339	1.30565400717408	0.997818016628308	1.56944304460828	1.71568062632497	NA	NA	NA	NA	NA	0.0297840007173319	0.262895417679454	0.986816024470813	0.0697088601373825	2.14	NA	7.597	0	NA
"Acacia dealbata"	"Afrotropical"	339	35	0.451	0.01405	0.98595	0.30746	23.55445	3	2893	0.331	0.008	3	0.015	12.68	0.538	131	1.955	-0.468539330246239	0.138970578536483	-0.417025197255973	0.0504094125806043	-0.725275857879268	-0.321273298492574	261	50	812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acacia dealbata"	"Australian"	346	10	0.393	0.0122	0.9878	0.54081	62.23005	2	2843	0.759	0.016	2	0.008	25.006	0.402	147	1.47	-0.47429360766762	0.172581405031149	-0.30655314584025	0.65877212074741	-0.630527461926707	-0.332769922723153	309	-77	1033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
