"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"native_center_precipSeas"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_precipSeas"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Abies concolor"	"Palearctic_West"	233	141	NA	0.0219	0.9781	0.77315	16.90473	30	3777	0.37	0.003	30	0.057	94.713	5.603	382	2.17	-0.268280829513852	-0.21170579347796	0.435088649619765	-1.0630107715578	0.437154488891023	-0.75114578386505	212	-42	1231	86	"M2A"	0.985390625725901	0	1.35147775327163	1.30825041045834	1.07108765710891	1.63283860482443	1.78083131770727	NA	NA	NA	NA	NA	0	0	0.886517667873969	NA	0.0234941113178492	4.688	NA	34.48	0	NA
"Abies lasiocarpa"	"Palearctic_West"	241	22	NA	0.04969	0.95031	0.48709	50.94744	14	3787	2.532	0.023	14	0.027	52.623	1.033	388	2.694	0.588017547910294	-0.798996243574641	0.562697950056866	-1.24028101012585	0.605166871694303	-0.766338544933649	212	-29	576	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Abutilon theophrasti"	"Australian"	36	70	NA	0.04827	0.95173	0.2361	51.40153	54	3892	2.481	0.02	54	0.131	28.853	0.561	212	0.831	-0.530064497961032	-0.463690828364028	-0.539135446109274	-0.514099444461768	-0.692893725149795	-0.230046915819408	338	4	722	36	"M2A"	0.988380525370978	0	1.73105869882164	1.74436992185526	1.44701966895176	2.03440603878232	2.14959018056223	NA	NA	NA	NA	NA	0.962890620062294	0.2137479880522	0	NA	0.01566925688134	2.455	NA	43.286	0	NA
"Abutilon theophrasti"	"Nearctic"	41	239	NA	0.00445	0.99555	0.09779	86.8695	21	3686	0.387	0.002	21	0.034	15.846	0.182	175	0.376	-0.419060726624469	-0.435616149948487	-0.366726657145234	-0.648946872798983	0.238786177662933	-0.454691406971388	301	35	699	41	"M2B"	0.811366895802649	0	1.66129083181699	1.75108417516	1.30585310905669	1.91995883041628	1.97687778452277	NA	NA	NA	NA	NA	0.0836590170673492	0.258404319597966	0.805856246081203	NA	0.221698463583898	4.756	NA	226.999	0	NA
"Abutilon theophrasti"	"Oriental"	35	6	NA	0.85823	0.14177	0.97733	112.36758	141	3866	96.438	0.76	141	0.321	124.091	1.104	417	2.558	-0.499959808225165	-0.557675864470846	-1.70852795799363	-1.26422109939547	-1.18159877063088	-0.114680138244714	233	5	1345	74	"M5B"	0.94753873024432	0	1.28020114325808	1.23295820197647	0.631825319852207	2.00310098670115	2.50994181388446	1.61670711540111	1.62503174676662	0.881962253519653	2.40783889374597	2.63577700570408	0.00618258258791792	0.177599787592603	0.962857538562382	NA	0.0716321029958547	3.655	4.471	5.863	12.994	NA
"Abutilon theophrasti"	"Palearctic_West"	41	554	NA	0.00523	0.99477	0.39209	29.35968	26	3686	0.154	0.001	26	0.042	63.536	2.164	370	1.345	-0.419060726624469	-0.435616149948487	0.260738355704376	-1.06352133398955	0.382467177901808	-0.738926141043122	301	35	699	41	"M2A"	0.991265655706438	0	1.81576240917315	1.81978187232223	1.62812122969057	2.01187658268764	2.05157023944536	NA	NA	NA	NA	NA	0	0	0.997120661127476	NA	0.283617057515078	4.434	NA	57.499	0	NA
"Abutilon theophrasti"	"Saharo-Arabian"	41	9	NA	0.07841	0.92159	0.99009	3.1053	5	3686	0.243	0.002	5	0.008	160.437	51.665	604	30.2	-0.419060726624469	-0.435616149948487	-1.33657085866378	0.935024848364242	-0.858541941051891	0.520569623201528	301	35	699	41	"M2A"	0.997476546304615	0	0.818351329621538	0.807420415513015	0.77256124913886	0.872886141391035	0.889869686108603	NA	NA	NA	NA	NA	1	0.0155529356046701	0	NA	0.0139093127900363	2.41	NA	198.307	0	NA
"Abutilon theophrasti"	"Sino-Japanese"	40	47	NA	0.28223	0.71777	0.3077	88.77332	106	3803	25.055	0.19	106	0.211	40.6	0.457	273	0.815	-0.420811009424628	-0.454614746749076	-0.823464338805951	-1.05864480639049	-0.429064367975175	-0.242506490139233	312	35	645	36	"M2A"	0.919366279362358	0	1.6876422202826	1.66707378040261	1.28890790968881	2.13030235352172	2.31313868022308	NA	NA	NA	NA	NA	0.0123727417960394	0.232006457809324	0.987627258203961	NA	0.126822074853281	4.327	NA	6.491	0	NA
"Acacia dealbata"	"Afrotropical"	339	35	NA	0.19962	0.80038	0.29459	38.81693	60	4076	7.749	0.214	60	0.262	10.663	0.275	122	0.731	-0.1607064370515	-1.17284444924867	-0.485416006053633	-0.323841874191399	-0.81647565680049	-0.253185060489787	313	-64	1088	19	"M5B"	0.72864910476484	0	0.774513176762342	0.784266555752854	0.627173391615394	0.93140248022987	1.05072092017801	0.882348983395669	0.748508627768914	0.520712389346214	1.44047211826825	1.59338099578534	0.165814013968533	0.00575013890810669	0.0487307727627532	NA	0.415542321983497	6.283	1.184	2.358	6.407	NA
"Acacia dealbata"	"Australian"	346	10	NA	0	1	0.67895	42.20361	0	4033	0	0	0	0	26.53	0.629	206	3.121	-0.163542420661601	-1.20403557711462	0.12591654826436	-1.64454518760738	-0.550863709100754	-0.478779345212456	311	-66	1117	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acacia dealbata"	"Madagascan"	31	6	NA	0.5673	0.4327	0.94135	27.73438	24	4118	15.734	0.262	24	0.128	56.506	2.037	167	3.795	-0.41997224226545	-1.26946730503559	-1.11742022654202	-0.612626954363426	-1.06688758042211	-0.274328594135352	316	-11	1189	21	"M5B"	0.890774190583906	0	0.422591411259276	0.411334246068762	0.232467005340067	0.615711472186649	0.732602203639944	0.504666244805434	0.54918529006444	0.296837389142443	0.708239804861113	0.732602203639944	0.0320718741029353	0.249219883398424	0.947854310001743	NA	0.145220509871013	3.721	4.527	4.324	24.301	NA
"Acacia dealbata"	"Nearctic"	346	35	NA	0.72266	0.27734	0.94232	37.05446	70	4033	26.778	0.685	70	0.257	36.821	0.994	214	1.672	-0.163542420661601	-1.20403557711462	-0.804595937218408	0.34290019545381	-0.222273831288729	-1.10127995792289	311	-66	1117	19	"M2A"	0.982625954894155	0	1.80598465755814	1.8344324192218	1.39915012412996	2.1935459009308	2.30308075970378	NA	NA	NA	NA	NA	0.987381998356267	0.0126180016437326	0.00286526779905506	NA	0.0447035417357546	1.904	NA	29.035	0	NA
