"source";"citation";"country";"scientific_name"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.";"Mexico";"Abies concolor"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.";"United States";"Abies concolor"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abies fraseri (Pursh) Poir.";"United States";"Abies fraseri"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abies lasiocarpa (Hook.) Nutt.";"Canada";"Abies lasiocarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abies lasiocarpa (Hook.) Nutt.";"United States";"Abies lasiocarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abronia fragrans Nutt. ex Hook.";"Mexico";"Abronia fragrans"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abronia fragrans Nutt. ex Hook.";"United States";"Abronia fragrans"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Algeria";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Armenia";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Azerbaijan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Bosnia and Herzegovina";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Bulgaria";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Croatia";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Egypt";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Georgia";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Greece";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Iran";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Italy";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Kazakhstan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Kyrgyzstan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Montenegro";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Pakistan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Romania";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Russian Federation";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Tajikistan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Turkey";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Turkmenistan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Abutilon theophrasti Medik.";"Uzbekistan";"Abutilon theophrasti"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia crassicarpa A. Cunn. ex Benth.";"Australia";"Acacia crassicarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia crassicarpa A. Cunn. ex Benth.";"Indonesia";"Acacia crassicarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia crassicarpa A. Cunn. ex Benth.";"Papua New Guinea";"Acacia crassicarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia crassicarpa A. Cunn. ex Benth.";"Thailand";"Acacia crassicarpa"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia dealbata Link";"Australia";"Acacia dealbata"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Angola";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Botswana";"Acacia erioloba"
